iter	MultiClass
0	1.033914643
1	0.9502741917
2	0.8787426072
3	0.8221684503
4	0.7727950848
5	0.731916129
6	0.6928588942
7	0.6552625182
8	0.616255301
9	0.5872692936
10	0.5558404521
11	0.5226604571
12	0.5016268308
13	0.4785708744
14	0.4543705086
15	0.4351925262
16	0.4192080591
17	0.3990635224
18	0.3802564659
19	0.3658250187
20	0.3524397726
21	0.3415917872
22	0.3286084363
23	0.3196748857
24	0.3072477994
25	0.2958171134
26	0.285212956
27	0.2757172836
28	0.2680358645
29	0.2567641359
30	0.2491154378
31	0.2408581154
32	0.2351166501
33	0.2257045516
34	0.2186235497
35	0.2120617568
36	0.2052256442
37	0.2007914988
38	0.1947603242
39	0.1895742202
40	0.1836986911
41	0.1805464792
42	0.1762845761
43	0.1719197232
44	0.1689725825
45	0.1645880189
46	0.1614978108
47	0.156847781
48	0.1538711893
49	0.1497715183
50	0.1463416289
51	0.1424981174
52	0.1386522197
53	0.1353595233
54	0.13249678
55	0.1294963864
56	0.1267420795
57	0.1243698745
58	0.1219434198
59	0.1197639906
60	0.1168437728
61	0.1141931065
62	0.111972593
63	0.1092201082
64	0.1073171212
65	0.1048540675
66	0.1029186608
67	0.100479543
68	0.09862284341
69	0.09718348791
70	0.09553110923
71	0.0939842616
72	0.09242335617
73	0.09065722633
74	0.08915837997
75	0.08790936411
76	0.08631091454
77	0.0848969279
78	0.0834637935
79	0.08201866312
80	0.0803546215
81	0.07924135492
82	0.07823817264
83	0.07684125729
84	0.07527670695
85	0.07404575908
86	0.07299690421
87	0.0717282599
88	0.07071075126
89	0.06988278824
90	0.06894441082
91	0.06801032501
92	0.0670004665
93	0.06601337458
94	0.06475113698
95	0.06380046568
96	0.06252884758
97	0.06154257274
98	0.06079971169
99	0.05992294225
100	0.05924529085
101	0.05842985047
102	0.05752721312
103	0.05673889907
104	0.05588568711
105	0.05523855895
106	0.05466195824
107	0.05407705157
108	0.05357170014
109	0.05305672923
110	0.05256693134
111	0.05203795784
112	0.05132770073
113	0.05090103022
114	0.05034651309
115	0.04981888854
116	0.04929311241
117	0.04876859482
118	0.04825128215
119	0.04782211276
120	0.047427566
121	0.04703792665
122	0.04648027609
123	0.0458835619
124	0.04540486934
125	0.04490758536
126	0.04454470504
127	0.04390725459
128	0.04337371155
129	0.04281986269
130	0.04237287035
131	0.04193191987
132	0.04150042799
133	0.04125014652
134	0.04085313546
135	0.04053818166
136	0.04021745541
137	0.03979966958
138	0.03939731885
139	0.03903799862
140	0.03856192411
141	0.03823630098
142	0.0378994399
143	0.03758040229
144	0.03716329887
145	0.03687966327
146	0.03647452073
147	0.03625566341
148	0.03571756015
149	0.03540519073
150	0.0350665952
151	0.03477834243
152	0.03454533089
153	0.03429357274
154	0.03406045449
155	0.03375686686
156	0.03351059515
157	0.0333225941
158	0.03309986246
159	0.03286237267
160	0.03262685677
161	0.03234060485
162	0.03199542636
163	0.03166673196
164	0.03146387811
165	0.0312836175
166	0.03095127439
167	0.03067176411
168	0.03038609467
169	0.03022749359
170	0.03000658975
171	0.02975177118
172	0.0294707859
173	0.02926433245
174	0.02898795407
175	0.02867884354
176	0.02850514365
177	0.02824121298
178	0.02803336107
179	0.02784301094
180	0.02769304457
181	0.02747364776
182	0.02732017175
183	0.02711546139
184	0.02691972004
185	0.02671616694
186	0.02648741336
187	0.02631689011
188	0.02615480276
189	0.02601403945
190	0.02586327345
191	0.02565982702
192	0.02552259053
193	0.02539034202
194	0.02525180058
195	0.02509862432
196	0.02493706708
197	0.0248133488
198	0.02469491158
199	0.02454688069
200	0.02436026112
201	0.02422231953
202	0.02407148399
203	0.02394979783
204	0.0238295001
205	0.0236317294
206	0.02347407781
207	0.02330858677
208	0.02320188076
209	0.02308076813
210	0.02296376883
211	0.02285774451
212	0.02263175582
213	0.02251637311
214	0.02238533339
215	0.02227882177
216	0.0220938183
217	0.02195217293
218	0.02185095312
219	0.02174770633
220	0.02160249004
221	0.02149417035
222	0.02133888277
223	0.02124813459
224	0.02113209161
225	0.02099434701
226	0.02089302297
227	0.02076805894
228	0.02061098847
229	0.02050452698
230	0.02039941599
231	0.02024535641
232	0.0201355394
233	0.02000415978
234	0.01990734576
235	0.01980502979
236	0.01970307134
237	0.01960597787
238	0.01952954683
239	0.01942632462
240	0.01933673277
241	0.01919434554
242	0.01908574704
243	0.01899206564
244	0.01887561483
245	0.01878433154
246	0.01866909413
247	0.01858372933
248	0.01851246158
249	0.01844616578
250	0.01837953838
251	0.01829132119
252	0.01822701954
253	0.01813027421
254	0.01802592858
255	0.01794569857
256	0.01788556378
257	0.01781277002
258	0.0177236325
259	0.01765748189
260	0.01758191201
261	0.0175186036
262	0.01743853446
263	0.01737958031
264	0.01729203036
265	0.01721676468
266	0.01714518075
267	0.01697460264
268	0.01690416298
269	0.01681939232
270	0.0167561439
271	0.01666140844
272	0.01659732374
273	0.01651928659
274	0.01646307451
275	0.01638841845
276	0.01629096536
277	0.01623479448
278	0.01617678655
279	0.01611235731
280	0.01604313131
281	0.01597614376
282	0.01592026063
283	0.01584172727
284	0.01576573423
285	0.01570608187
286	0.01564686709
287	0.01557991607
288	0.01552219703
289	0.01546249243
290	0.01536333976
291	0.01528208448
292	0.01521495199
293	0.01514652976
294	0.01508302826
295	0.01502018254
296	0.01495777255
297	0.01490626675
298	0.01483821207
299	0.01476733503
300	0.01470295516
301	0.01465219513
302	0.01461210112
303	0.01455709107
304	0.01451912576
305	0.0144685083
306	0.01441178598
307	0.01435447486
308	0.01429877912
309	0.01423608908
310	0.01418038386
311	0.01413878007
312	0.01408009333
313	0.01403872528
314	0.01398152867
315	0.01392384655
316	0.0138759852
317	0.01380256259
318	0.01376634871
319	0.01372399025
320	0.0136906496
321	0.0136532558
322	0.0135787492
323	0.01353322732
324	0.01349256177
325	0.01345085878
326	0.01340825579
327	0.01336603195
328	0.01332214517
329	0.01327559853
330	0.01324005448
331	0.01319828932
332	0.01315241027
333	0.01310324132
334	0.01305907356
335	0.01299525924
336	0.01293616942
337	0.01289246451
338	0.01285525784
339	0.0128135806
340	0.01275084885
341	0.01269659877
342	0.0126555901
343	0.01262122439
344	0.01258265104
345	0.01255259487
346	0.01249394545
347	0.01245183655
348	0.01240464964
349	0.01235938132
350	0.0123195656
351	0.01229567408
352	0.01226400029
353	0.01222299886
354	0.01218301108
355	0.01214960773
356	0.01211309862
357	0.01206658804
358	0.01203897093
359	0.01199430624
360	0.01196231061
361	0.01191319592
362	0.01183512364
363	0.01180430536
364	0.01176831406
365	0.01174245103
366	0.01171148035
367	0.01166389265
368	0.01162634511
369	0.01158240378
370	0.01154354003
371	0.01150746813
372	0.01147041353
373	0.01142461032
374	0.01138986819
375	0.0113524763
376	0.01130859726
377	0.01126677134
378	0.01123220083
379	0.01120404729
380	0.0111681521
381	0.01114199659
382	0.01110547533
383	0.01107743516
384	0.01105242872
385	0.01101589624
386	0.01098837775
387	0.01095413019
388	0.01091761979
389	0.01088713132
390	0.01085782697
391	0.01082907515
392	0.010794801
393	0.01076156955
394	0.01073457501
395	0.01070553319
396	0.01067534138
397	0.01063992225
398	0.01060147229
399	0.0105765176
400	0.01054037291
401	0.01050265207
402	0.01047800404
403	0.01045614431
404	0.01042584969
405	0.01037732567
406	0.01034424602
407	0.01031847669
408	0.01029033471
409	0.01026346452
410	0.01022485045
411	0.01020152398
412	0.01017820283
413	0.01014051331
414	0.01010628714
415	0.01008231625
416	0.01005666951
417	0.01002290046
418	0.009962942397
419	0.009941416288
420	0.009919144584
421	0.00989897121
422	0.009876609051
423	0.009850775462
424	0.009830819456
425	0.009801383718
426	0.009774102346
427	0.00974503364
428	0.009726151474
429	0.009705971016
430	0.009679245207
431	0.009651943898
432	0.009630667496
433	0.009605288124
434	0.009576324308
435	0.009563231125
436	0.009534341404
437	0.009505435315
438	0.009475211907
439	0.009456322279
440	0.009432952868
441	0.009401087306
442	0.009379152568
443	0.009357188623
444	0.00932823809
445	0.009304947583
446	0.009274102501
447	0.009254806043
448	0.009229477428
449	0.009203514249
450	0.009183511383
451	0.009155239839
452	0.009125530325
453	0.009098645245
454	0.009078615453
455	0.009054314201
456	0.009025067254
457	0.009009574332
458	0.008994170417
459	0.008977406126
460	0.008953011851
461	0.0089332862
462	0.008912214285
463	0.008890297955
464	0.008870637437
465	0.00884229681
466	0.008824277789
467	0.008794247358
468	0.008768266538
469	0.008732755922
470	0.00870441788
471	0.008687806308
472	0.008663093251
473	0.008645387539
474	0.00861900208
475	0.008599386207
476	0.008582911293
477	0.008565843259
478	0.008547197596
479	0.008531729308
480	0.008494903393
481	0.008476927005
482	0.008460400017
483	0.008442328266
484	0.00841056441
485	0.008395929344
486	0.008381225468
487	0.008354601753
488	0.008340589918
489	0.008322919638
490	0.008310770185
491	0.008290433275
492	0.008271447748
